t_1hz,X-coordinate,Y-coordinate,Speed,power consumption,current consuption,Heading,Position confidence,Battery value,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,energy_J_step,scanner_active,Going to ID,Current segment,t_sec,session,interval_check,is_1hz_ok
75,-2.365027,21.84347,0.0,232.2,5203.7,1.604162,100.0,62.0,0.0,0.0,245.8799999999581,0.0,2.0,58.0,75,1,1.0,True
76,-2.365027,21.8462,0.0,231.33333333333334,5186.0,1.6041619999999999,100.0,62.0,0.0,0.0,245.16000000002094,0.0,2.0,58.0,76,1,1.0,True
77,-2.365027,21.84478181818182,0.0,231.0,5185.636363636364,1.604162,100.0,62.0,0.0,0.0,250.2,0.0,3.0,58.0,77,1,1.0,True
78,-2.365027,21.842181818181817,0.0,243.0,5452.909090909091,1.604162,100.0,62.0,0.0,0.0,134.28000000006287,0.0,3.0,56.0,78,1,1.0,True
79,-2.3672186666666666,21.839071666666666,0.000389972,274.0833333333333,6165.083333333333,1.7353113333333334,99.58333333333333,61.083333333333336,89.16666666666667,-88.25,287.63999999997907,0.0,3.0,56.0,79,1,1.0,True
80,-2.380791,21.86202,0.000425424,277.27272727272725,6236.181818181818,2.102627090909091,86.0909090909091,61.0,100.0,-99.0,294.47999999995807,0.0,3.0,56.0,80,1,1.0,True
81,-2.373622272727273,21.83609090909091,0.000425424,274.1818181818182,6175.636363636364,2.395819,74.0,61.0,100.0,-99.0,292.3200000000419,0.0,3.0,56.0,81,1,1.0,True
82,-2.3599601818181815,21.813057272727274,0.000425424,273.6363636363636,6161.818181818182,2.7857173636363637,70.0909090909091,61.0,100.0,-99.0,293.03999999997905,0.0,3.0,56.0,82,1,1.0,True
83,-2.351834181818182,21.807226363636364,0.000425424,274.0,6170.0,1.9699573636363636,77.0,61.0,100.0,-99.0,293.4,0.0,3.0,56.0,83,1,1.0,True
84,-2.3647353333333334,21.811706666666666,0.000425424,275.5,6208.0,-2.785132666666667,84.66666666666667,61.0,100.0,-99.0,289.439999999979,0.0,3.0,56.0,84,1,1.0,True
85,-2.369637090909091,21.81376818181818,0.000425424,274.45454545454544,6190.545454545455,-2.4647008181818184,78.54545454545455,61.0,99.72727272727273,-98.72727272727273,297.36000000002093,0.0,3.0,56.0,85,1,1.0,True
86,-2.355404,21.803375,0.00042542399999999993,273.5,6155.5,-2.111601,82.5,61.0,90.0,-89.0,145.8,0.0,3.0,56.0,86,1,1.0,True
87,-2.3644709090909086,21.817062727272727,0.00042542181818181813,271.90909090909093,6122.363636363636,-1.8356499999999998,94.27272727272727,61.0,62.72727272727273,-62.18181818181818,289.8,0.0,3.0,56.0,87,1,1.0,True
88,-2.3629005454545453,21.81565,0.00042542218181818183,272.09090909090907,6130.909090909091,-1.6459272727272727,98.27272727272727,61.0,49.45454545454545,-48.54545454545455,286.20000000000005,0.0,3.0,56.0,88,1,1.0,True
89,-2.3659993333333333,21.795811666666665,0.09309697033333335,273.6666666666667,6156.833333333333,-1.5522656666666668,98.5,61.0,100.16666666666667,86.0,293.03999999997905,0.0,3.0,56.0,89,1,1.0,True
90,-2.3640006363636363,21.603706363636363,0.2943934181818182,293.90909090909093,6634.363636363636,-1.5523060909090909,99.81818181818181,61.0,292.6363636363636,295.6363636363636,307.8,0.0,3.0,56.0,90,1,1.0,True
91,-2.36086225,21.3131775,0.29847036666666665,295.1666666666667,6664.166666666667,-1.5513550833333332,100.0,61.0,299.0,297.5833333333333,312.12000000004195,0.0,3.0,56.0,91,1,1.0,True
92,-2.357789909090909,21.060616363636363,0.2986089727272727,291.54545454545456,6579.818181818182,-1.5497228181818181,100.0,61.0,299.0,297.90909090909093,308.8799999999581,0.0,3.0,56.0,92,1,1.0,True
93,-2.3507286666666665,20.764573333333335,0.29932125,289.6666666666667,6540.333333333333,-1.547178,100.0,61.0,299.0,299.0,315.0,0.0,3.0,56.0,93,1,1.0,True
94,-2.3426750000000003,20.49301,0.29886035,292.0,6585.5,-1.5474780000000001,100.0,61.0,298.0,299.0,156.6,0.0,3.0,56.0,94,1,1.0,True
95,-2.339300181818182,20.17384909090909,0.2980675090909091,296.1818181818182,6685.636363636364,-1.546917181818182,100.0,61.0,299.0,296.6363636363636,312.12000000004195,0.0,3.0,52.0,95,1,1.0,True
96,-2.3345165454545453,19.931445454545454,0.2979901636363636,292.0,6589.636363636364,-1.5431975454545452,100.0,61.0,297.90909090909093,297.54545454545456,309.96000000002095,0.0,3.0,52.0,96,1,1.0,True
97,-2.3265371666666668,19.622493333333335,0.2979385666666667,291.0,6564.5,-1.5441566666666666,100.0,61.0,298.0,297.3333333333333,309.2399999999791,0.0,3.0,52.0,97,1,1.0,True
98,-2.3227094545454547,19.341755454545453,0.2975260727272727,290.8181818181818,6562.363636363636,-1.5406428181818184,100.0,61.0,296.8181818181818,297.54545454545456,314.63999999997907,0.0,3.0,52.0,98,1,1.0,True
99,-2.3189873333333337,19.059760833333332,0.29804495,293.1666666666667,6613.666666666667,-1.5400867500000002,99.41666666666667,61.0,299.0,296.75,308.8799999999581,0.0,3.0,52.0,99,1,1.0,True
100,-2.3121522727272725,18.807693636363638,0.2984929,293.1818181818182,6630.818181818182,-1.5400189090909089,99.27272727272727,61.0,298.54545454545456,299.0,308.52000000004193,0.0,3.0,52.0,100,1,1.0,True
101,-2.299758,18.481037272727274,0.29420002727272726,290.3636363636364,6554.818181818182,-1.5452893636363638,97.54545454545455,61.0,291.1818181818182,297.0,308.8799999999581,0.0,3.0,52.0,101,1,1.0,True
102,-2.3013254545454545,18.25836272727273,0.19155682727272724,281.45454545454544,6354.818181818182,-1.7003673636363636,97.36363636363636,61.0,85.72727272727273,297.1818181818182,149.76000000002097,0.0,3.0,104.0,102,1,1.0,True
103,-2.3395234166666667,18.15460333333333,0.10093186250000001,283.1666666666667,6381.583333333333,-2.2013320000000003,92.75,61.0,-70.0,272.0833333333333,303.12000000004195,0.0,3.0,104.0,103,1,1.0,True
104,-2.422725,18.097759,0.11865073500000001,285.1,6437.5,-2.7877327999999997,81.1,61.0,-43.4,280.8,303.83999999997906,0.0,3.0,100.0,104,1,1.0,True
105,-2.5636495454545454,18.117031818181818,0.22717639090909092,289.54545454545456,6535.0,1.95674,71.0909090909091,61.0,223.36363636363637,230.54545454545453,308.160000000021,0.0,3.0,302.0,105,1,1.0,True
106,-2.80366425,18.097915,0.278227275,294.25,6645.5,-1.541766,77.75,61.0,298.25,257.75,320.4,0.0,3.0,306.0,106,1,1.0,True
107,-3.0732621818181816,18.086108181818183,0.29741005454545455,291.8181818181818,6587.545454545455,-3.0795334545454547,88.63636363636364,61.0,298.1818181818182,296.45454545454544,308.160000000021,0.0,3.0,294.0,107,1,1.0,True
108,-3.3717061666666663,18.073541666666667,0.2953151333333333,289.8333333333333,6534.666666666667,-3.080555,92.83333333333333,61.0,292.5,297.3333333333333,308.1599999999162,0.0,3.0,298.0,108,1,1.0,True
109,-3.6448359090909093,18.054945454545454,0.2953989545454545,292.6363636363636,6605.636363636364,-3.092048090909091,95.54545454545455,61.0,291.3636363636364,299.0,318.6,0.0,3.0,134.0,109,1,1.0,True
110,-3.9425691818181816,18.04165272727273,0.2972553363636364,293.90909090909093,6643.454545454545,-3.1053397272727277,95.0,61.0,296.27272727272725,297.90909090909093,155.5200000000419,0.0,3.0,134.0,110,1,1.0,True
111,-4.197865916666667,18.019985000000002,0.29676869999999994,292.6666666666667,6605.333333333333,-3.1184176666666663,94.08333333333333,61.0,294.25,298.8333333333333,309.2399999999791,0.0,3.0,134.0,111,1,1.0,True
112,-4.499842999999999,18.020169090909093,0.29748736363636363,290.0,6538.454545454545,-3.118196,96.54545454545455,61.0,298.72727272727275,295.54545454545456,308.160000000021,0.0,3.0,138.0,112,1,1.0,True
113,-4.772225,18.013786666666665,0.2959532833333333,290.1666666666667,6551.666666666667,-3.1153851666666665,97.66666666666667,61.0,295.6666666666667,296.0,308.52000000004193,0.0,3.0,138.0,113,1,1.0,True
